,name,author,num_page,language,user_rating,rating_num,reviews,genre_1,genre_2,genre_3,year,publisher
28,Anne of Green Gables,L.M. Montgomery,320,English,4.3,921585,34816,Classics,Fiction,Young Adult,1908,Signet
29,City of Bones,Cassandra Clare,485,English,4.08,1920408,72552,Fantasy,Young Adult,Paranormal,2007,Margaret K. McElderry Books
30,The Hitchhiker's Guide to the Galaxy,Douglas Adams,193,English,4.23,1745582,40873,Science Fiction,Fiction,Humor,1979,Del Rey
31,The Help,Kathryn Stockett,464,English,4.47,2608872,88638,Fiction,Historical Fiction,Historical,2009,G.P. Putnam's Sons
32,Ender’s Game,Orson Scott Card,324,English,4.31,1312869,47728,Science Fiction,Fiction,Young Adult,1985,Tor
33,Charlotte's Web,E.B. White,184,English,4.19,1730244,22280,Classics,Fiction,Childrens,1952,HarperCollinsPublishers
34,Dracula,Bram Stoker,488,English,4.01,1180049,39765,Classics,Horror,Fiction,1897,Norton
35,Of Mice and Men,John Steinbeck,107,English,3.88,2405421,47238,Classics,Fiction,School,1937,Penguin Books
36,The Alchemist,Paulo Coelho,182,English,3.9,2807200,109640,Fiction,Classics,Fantasy,1988,HarperOne
37,The Catcher in the Rye,J.D. Salinger,277,English,3.8,3326956,77345,Classics,Fiction,Young Adult,1951,Back Bay Books
38,Brave New World,Aldous Huxley,268,English,3.99,1749208,42823,Classics,Fiction,Science Fiction,1932,HarperPerennial / Perennial Classics
39,One Hundred Years of Solitude,Gabriel García Márquez,417,English,4.11,914978,41336,Fiction,Classics,Magical Realism,1967,Harper
40,Fahrenheit 451,Ray Bradbury,194,English,3.97,2227331,66707,Classics,Fiction,Science Fiction,1953,Simon \u0026 Schuster
41,The Time Traveler's Wife,Audrey Niffenegger,537,English,3.99,1738702,51837,Fiction,Romance,Fantasy,2003,Zola Books
42,A Thousand Splendid Suns,Khaled Hosseini,372,English,4.42,1434154,70595,Fiction,Historical Fiction,Contemporary,2007,Riverhead Books
43,The Princess Bride,William Goldman,429,English,4.26,872142,24345,Fantasy,Classics,Fiction,1973,Ballantine Books
44,The Secret Garden,Frances Hodgson Burnett,331,English,4.15,1102029,25903,Classics,Fiction,Childrens,1911,Children's Classics
45,A Game of Thrones,George R.R. Martin,835,English,4.44,2362607,60759,Fantasy,Fiction,Epic Fantasy,1996,Bantam
46,The Outsiders,S.E. Hinton,192,English,4.12,1227164,43098,Classics,Young Adult,Fiction,1967,Puffin Books (US/CAN)
47,A Wrinkle in Time,Madeleine L'Engle,218,English,3.99,1156531,37963,Fantasy,Fiction,Classics,1962,Square Fish
48,The Odyssey,Homer,541,English,3.8,1020863,17156,Classics,Fiction,Poetry,701,Penguin Classics 
49,Little Women,Louisa May Alcott,449,English,4.14,2093219,45309,Classics,Fiction,Historical Fiction,1868,Signet Classics
50,1984,George Orwell,298,English,4.19,4222985,102585,Classics,Fiction,Science Fiction,1949,Houghton Mifflin Harcourt
51,The Adventures of Huckleberry Finn,Mark Twain,327,English,3.83,1238818,18578,Classics,Fiction,Historical Fiction,1884,Penguin Classics
52,The Lovely Bones,Alice Sebold,372,English,3.85,2272279,44805,Fiction,Mystery,Young Adult,2002,"Little, Brown and Company"
53,The Kite Runner,Khaled Hosseini,371,English,4.33,2965388,91553,Fiction,Historical Fiction,Classics,2003,Riverhead Books
54,Where the Wild Things Are,Maurice Sendak,38,English,4.24,965887,13454,Childrens,Picture Books,Fiction,1963,Red Fox
55,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,260,English,3.85,1477032,53084,Classics,Fiction,Horror,1818,Penguin Classics
56,Green Eggs and Ham,Dr. Seuss,64,English,4.3,737408,10973,Childrens,Picture Books,Fiction,1960,Random House Books for Young Readers
57,Life of Pi,Yann Martel,460,English,3.93,1556164,51637,Fiction,Fantasy,Classics,2001,Seal Books
58,A Tale of Two Cities,Charles Dickens,489,English,3.86,913890,21828,Classics,Fiction,Historical Fiction,1859,Penguin Books
59,Harry Potter and the Deathly Hallows,J.K. Rowling,759,English,4.62,3480735,79866,Fantasy,Young Adult,Fiction,2007,Arthur A. Levine Books
60,The Handmaid’s Tale,Margaret Atwood,314,English,4.13,1897684,89391,Fiction,Classics,Dystopia,1985,Anchor Books
61,The Giver,Lois Lowry,208,English,4.12,2295543,75416,Young Adult,Fiction,Classics,1993,Ember
62,Lolita,Vladimir Nabokov,368,English,3.88,798094,35214,Classics,Fiction,Literature,1955,Penguin
63,Water for Elephants,Sara Gruen,368,English,4.1,1560093,61405,Fiction,Historical Fiction,Romance,2006,Algonquin Books
64,Slaughterhouse-Five,Kurt Vonnegut Jr.,275,English,4.09,1279199,33623,Classics,Fiction,Science Fiction,1969,Dial Press
65,Dune,Frank Herbert,658,English,4.26,1211530,53426,Science Fiction,Fiction,Fantasy,1965,Ace
66,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,435,English,4.58,3827636,75648,Fantasy,Fiction,Young Adult,1999,Scholastic Inc.
67,The Stand,Stephen King,1152,English,4.34,724429,27331,Horror,Fiction,Fantasy,1978,Doubleday Books
68,Catch-22,Joseph Heller,453,English,3.99,805975,21997,Classics,Fiction,Historical Fiction,1961,Simon \u0026 Schuster 
69,The Bell Jar,Sylvia Plath,294,English,4.04,836328,43738,Classics,Fiction,Feminism,1963,Harper Perennial Modern Classics
70,Matilda,Roald Dahl,240,English,4.33,876337,21815,Childrens,Fiction,Classics,1988,Puffin
71,The Pillars of the Earth,Ken Follett,976,English,4.33,732558,35719,Historical Fiction,Fiction,Historical,1989,NAL Trade
72,The Adventures of Sherlock Holmes,Arthur Conan Doyle,389,English,4.3,286255,8642,Classics,Mystery,Fiction,1892,Oxford University Press
73,Watership Down,Richard  Adams,478,English,4.08,468256,16448,Classics,Fiction,Fantasy,1972,Avon Books
74,Great Expectations,Charles Dickens,544,English,3.79,765686,20509,Classics,Fiction,Literature,1860,Oxford University Press
75,Rebecca,Daphne du Maurier,449,English,4.24,585736,35928,Classics,Fiction,Mystery,1938,"Little, Brown and Company"
76,The Girl with the Dragon Tattoo,Stieg Larsson,480,English,4.16,3038052,74899,Fiction,Mystery,Thriller,2005,Viking Canada
77,Outlander,Diana Gabaldon,850,English,4.25,993748,51821,Historical Fiction,Romance,Fantasy,1991,Dell Publishing Company
78,One Flew Over the Cuckoo's Nest,Ken Kesey,325,English,4.2,706807,14541,Classics,Fiction,Psychology,1962,Signet
79,The Color Purple,Alice Walker,304,English,4.26,636685,21891,Classics,Fiction,Historical Fiction,1982,Penguin Books
80,The Fellowship of the Ring,J.R.R. Tolkien,432,English,4.38,2693777,34615,Fantasy,Classics,Fiction,1954,William Morrow
81,My Sister's Keeper,Jodi Picoult,423,English,4.09,1178636,36156,Fiction,Contemporary,Chick Lit,2004,Washington Square Press
82,Anna Karenina,Leo Tolstoy,964,English,4.08,802597,32349,Classics,Fiction,Romance,1878,Vintage
83,The Brothers Karamazov,Fyodor Dostoevsky,796,English,4.36,306293,16584,Classics,Fiction,Russia,1878,"Farrar, Straus and Giroux"
84,A Tree Grows in Brooklyn,Betty  Smith,496,English,4.29,444271,25142,Classics,Fiction,Historical Fiction,1943,HarperCollins Publishers
85,A Clockwork Orange,Anthony Burgess,240,English,4.0,683421,18682,Classics,Fiction,Science Fiction,1962,W. W. Norton \u0026 Company
86,The Road,Cormac McCarthy,241,English,3.98,844622,54136,Fiction,Science Fiction,Dystopia,2006,Alfred A. Knopf
87,Angela's Ashes,Frank McCourt,452,English,4.14,609694,13664,Nonfiction,Memoir,Biography,1996,Harper Perennial
88,Vampire Academy,Richelle Mead,332,English,4.11,627726,25461,Young Adult,Fantasy,Vampires,2007,Razorbill
89,Siddhartha,Hermann Hesse,152,English,4.06,723355,24473,Classics,Fiction,Philosophy,1922,Bantam Books
90,The Golden Compass,Philip Pullman,399,English,4.01,1469109,26657,Fantasy,Young Adult,Fiction,1995,Knopf
91,And Then There Were None,Agatha Christie,264,English,4.28,1220280,56283,Mystery,Classics,Fiction,1939,St. Martin's Griffin
92,It,Stephen King,1168,English,4.25,1030476,33010,Horror,Fiction,Thriller,1986,New English Library
93,To Kill a Mockingbird,Harper Lee,323,English,4.27,5714197,110728,Classics,Fiction,Historical Fiction,1960,Harper Perennial Modern Classics
94,The Complete Stories and Poems,Edgar Allan Poe,821,English,4.38,242067,2027,Classics,Poetry,Horror,1849,"Doubleday \u0026 Company, Inc."
95,The Shining,Stephen King,659,English,4.26,1392462,34751,Horror,Fiction,Thriller,1977,New English Library (Hodder \u0026 Stoughton) 
96,The Poisonwood Bible,Barbara Kingsolver,546,English,4.09,718279,25867,Fiction,Historical Fiction,Africa,1998,Harper Perennial Modern Classics
97,Interview with the Vampire,Anne Rice,346,English,4.01,559676,14340,Horror,Fantasy,Fiction,1976,Ballantine Books
98,Don Quixote,Miguel de Cervantes Saavedra,1023,English,3.89,255276,11093,Classics,Fiction,Literature,1605,Penguin Books
99,The Old Man and the Sea,Ernest Hemingway,96,English,3.8,1065578,35452,Classics,Fiction,Literature,1952,Scribner
100,Atlas Shrugged,Ayn Rand,1168,English,3.69,381056,19404,Fiction,Classics,Philosophy,1957,Plume
101,The Notebook,Nicholas Sparks,227,English,4.14,1600583,23602,Romance,Fiction,Chick Lit,1996,Grand Central Publishing
102,Harry Potter and the Goblet of Fire,J.K. Rowling,734,English,4.56,3412907,62565,Fantasy,Young Adult,Fiction,2000,Scholastic
103,Winnie-the-Pooh,A.A. Milne,161,English,4.35,314700,6452,Classics,Childrens,Fiction,1926,Dutton Juvenile
104,Fahrenheit 451,Ray Bradbury,158,Spanish; Castilian,3.97,2227483,66715,Classics,Fiction,Science Fiction,1953,DeBolsillo
105,"Moby-Dick or, the Whale",Herman Melville,654,English,3.53,536484,20636,Classics,Fiction,Literature,1851,Penguin Classics 
106,A Prayer for Owen Meany,John Irving,637,English,4.24,311804,15680,Fiction,Classics,Contemporary,1989,Black Swan
107,Harry Potter and the Half-Blood Prince,J.K. Rowling,652,English,4.58,3060202,52370,Fantasy,Young Adult,Fiction,2005,Scholastic Inc.
108,Clockwork Angel,Cassandra Clare,479,English,4.32,798241,39890,Fantasy,Young Adult,Romance,2010,Margaret K. McElderry Books
109,The Secret Life of Bees,Sue Monk Kidd,302,English,4.08,1250778,34215,Fiction,Historical Fiction,Young Adult,2001,Penguin Books
110,The Red Tent,Anita Diamant,324,English,4.19,579624,21243,Historical Fiction,Fiction,Historical,1997,St. Martin's Press
111,The Stranger,Albert Camus,159,English,4.01,968305,39788,Classics,Fiction,Philosophy,1942,Vintage International
112,The Name of the Wind,Patrick Rothfuss,662,English,4.52,895802,50937,Fantasy,Fiction,Epic Fantasy,2007,Penguin Group DAW
113,Harry Potter and the Chamber of Secrets,J.K. Rowling,341,English,4.43,3614547,71837,Fantasy,Fiction,Young Adult,1998,Arthur A. Levine Books
114,The Master and Margarita,Mikhail Bulgakov,372,English,4.29,321305,17920,Classics,Fiction,Russia,1967,Vintage International
115,Flowers for Algernon,Daniel Keyes,216,English,4.19,617845,28668,Fiction,Classics,Science Fiction,1959,Vintage
116,The Metamorphosis,Franz Kafka,201,English,3.85,925026,32535,Classics,Fiction,Fantasy,1915,Bantam Classics
117,Middlesex,Jeffrey Eugenides,529,English,4.03,626094,25316,Fiction,Historical Fiction,Contemporary,2002,Picador USA
118,Eragon,Christopher Paolini,503,English,3.94,1680853,25759,Fantasy,Young Adult,Fiction,2002,Alfred A. Knopf
119,The Adventures of Tom Sawyer,Mark Twain,244,English,3.92,894684,12736,Classics,Fiction,Adventure,1876,Penguin Classics
120,Looking for Alaska,John Green,221,English,3.98,1492257,71006,Young Adult,Fiction,Contemporary,2005,Speak
121,The Alchemist,Paulo Coelho,197,English,3.9,2807342,109651,Fiction,Classics,Fantasy,1988,HarperCollins
122,Charlie and the Chocolate Factory,Roald Dahl,176,English,4.15,805945,15079,Childrens,Fiction,Fantasy,1964,Puffin Books
123,The Hobbit,J.R.R. Tolkien,366,English,4.28,3678598,64217,Fantasy,Classics,Fiction,1937,Houghton Mifflin
124,The Very Hungry Caterpillar,Eric Carle,26,English,4.32,482271,9816,Picture Books,Childrens,Fiction,1969,Puffin Books
125,The Curious Incident of the Dog in the Night-Time,Mark Haddon,226,English,3.89,1416248,52690,Fiction,Mystery,Young Adult,2003,Vintage
126,The Shadow of the Wind,Carlos Ruiz Zafón,487,English,4.29,592440,47343,Fiction,Historical Fiction,Mystery,2001,Penguin Books
127,Tuesdays with Morrie,Mitch Albom,210,English,4.16,958869,35586,Nonfiction,Memoir,Biography,1997,Warner
128,The Last Olympian,Rick Riordan,381,English,4.54,900588,34426,Fantasy,Young Adult,Mythology,2009,Disney-Hyperion Books
129,The Count of Monte Cristo,Alexandre Dumas,1276,English,4.29,870577,28757,Classics,Fiction,Historical Fiction,1844,Penguin Classics
130,On the Road,Jack Kerouac,307,English,3.62,393732,18265,Classics,Fiction,Travel,1957,Penguin Books
131,The Unbearable Lightness of Being,Milan Kundera,320,English,4.11,430045,21701,Fiction,Classics,Philosophy,1984,Harper Perennial
132,The Name of the Rose,Umberto Eco,536,English,4.13,349052,11832,Fiction,Historical Fiction,Mystery,1980,Harvest Books
133,"The Lion, the Witch and the Wardrobe",C.S. Lewis,206,English,4.23,2629248,30015,Fantasy,Classics,Fiction,1950,HarperCollins Publishers
134,The Godfather,Mario Puzo,448,English,4.38,398991,11650,Fiction,Classics,Crime,1969,NAL
135,Where the Red Fern Grows,Wilson Rawls,272,English,4.1,389547,13251,Classics,Fiction,Young Adult,1961,Yearling
136,In Cold Blood,Truman Capote,343,English,4.08,624811,21746,Nonfiction,Classics,True Crime,1965,Vintage
137,The Scarlet Letter,Nathaniel Hawthorne,279,English,3.43,827724,18634,Classics,Fiction,Historical Fiction,1850,Penguin Books
138,Holes,Louis Sachar,272,English,3.99,1141915,24819,Young Adult,Fiction,Middle Grade,1998,Scholastic
139,Fight Club,Chuck Palahniuk,224,English,4.19,563899,19325,Fiction,Classics,Contemporary,1996,W. W. Norton \u0026 Company
140,Perfume: The Story of a Murderer,Patrick Süskind,263,English,4.03,429108,21488,Fiction,Classics,Historical Fiction,1985,Penguin Books
141,The Five People You Meet in Heaven,Mitch Albom,196,English,3.98,682535,26066,Fiction,Contemporary,Inspirational,2003,Hyperion
142,American Gods,Neil Gaiman,635,English,4.11,885458,44769,Fantasy,Fiction,Mythology,2001,William Morrow
143,The Cat in the Hat,Dr. Seuss,61,English,4.18,516567,6839,Childrens,Picture Books,Classics,1957,Random House Books for Young Readers
144,"Hush, Hush",Becca Fitzpatrick,391,English,3.93,678933,28679,Young Adult,Fantasy,Romance,2009,Simon \u0026 Schuster
145,The Divine Comedy,Dante Alighieri,798,English,4.07,143443,5500,Classics,Poetry,Fiction,1320,Everyman's Library
146,Watchmen,Alan Moore,416,English,4.37,539047,16527,Graphic Novels,Comics,Fiction,1987,DC Comics
147,Lonesome Dove,Larry McMurtry,960,English,4.52,177408,10326,Fiction,Historical Fiction,Westerns,1985,Pocket Books
148,The Little House Collection,Laura Ingalls Wilder,2700,English,4.35,150318,2407,Classics,Historical Fiction,Childrens,1971,Avon Books
149,All Quiet on the Western Front,Erich Maria Remarque,296,English,4.05,430234,15858,Classics,Fiction,Historical Fiction,1928,Ballantine Books
150,Peter Pan,J.M. Barrie,176,English,4.04,332471,15192,Classics,Fantasy,Fiction,1911,Henry Holt and Co.
151,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,491,English,4.25,684587,35377,Fantasy,Fiction,Humor,1990,William Morrow
152,The Addiction Manifesto,Jerry Weaver,178,English,4.86,1078,43,Nonfiction,Self Help,Memoir,2018,Palmetto Publishing
153,Love in the Time of Cholera,Gabriel García Márquez,348,English,3.93,481689,25532,Fiction,Classics,Historical Fiction,1985,Vintage International
154,Insurgent,Veronica Roth,525,English,3.98,1421710,62082,Young Adult,Dystopia,Fiction,2012,HarperCollins Children's Books
155,A Walk to Remember,Nicholas Sparks,215,English,4.19,781782,15752,Romance,Fiction,Contemporary,1999,Grand Central Publishing 
156,The Thorn Birds,Colleen McCullough,692,English,4.24,341543,7404,Fiction,Historical Fiction,Romance,1977,Avon Books
157,The Compleat Works of Wllm Shkspr,Adam Long,137,English,4.46,8780,141,Plays,Classics,Humor,2000,Applause Books
158,Shadow Kiss,Richelle Mead,443,English,4.34,356193,12798,Young Adult,Fantasy,Vampires,2008,Razorbill
159,The Battle of the Labyrinth,Rick Riordan,361,English,4.41,978842,29029,Fantasy,Young Adult,Mythology,2008,Hyperion Books for Children
160,How the Grinch Stole Christmas!,Dr. Seuss,64,English,4.37,394223,4257,Childrens,Picture Books,Christmas,1957,Harper Collins Children's Books
161,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,815,English,4.38,314231,6044,Science Fiction,Fiction,Humor,1996,Del Rey Books
162,Clockwork Princess,Cassandra Clare,567,English,4.56,423703,37770,Fantasy,Young Adult,Romance,2013,Walker Books Ltd
163,Their Eyes Were Watching God,Zora Neale Hurston,238,English,3.97,325825,18811,Classics,Fiction,Historical Fiction,1937,Amistad
164,The Importance of Being Earnest,Oscar Wilde,76,English,4.18,352646,12739,Classics,Plays,Fiction,1895,Prestwick House
165,The Titan's Curse,Rick Riordan,320,English,4.36,939444,31930,Fantasy,Young Adult,Mythology,2007,Puffin Books
166,The Wonderful Wizard of Oz,L. Frank Baum,154,English,3.99,433653,16079,Classics,Fantasy,Fiction,1900,Penguin
167,"Eat, Pray, Love",Elizabeth Gilbert,368,English,3.61,1682513,57091,Nonfiction,Memoir,Travel,2006,Riverhead Books
168,Atonement,Ian McEwan,351,English,3.93,499309,20893,Fiction,Historical Fiction,Classics,2001,Anchor / Random House
169,The Three Musketeers,Alexandre Dumas,625,English,4.09,311916,8846,Classics,Fiction,Historical Fiction,1844,Modern Library
170,The Sea of Monsters,Rick Riordan,279,English,4.24,1037308,39747,Fantasy,Young Adult,Mythology,2006,Hyperion Books
171,The Lorax,Dr. Seuss,72,English,4.34,330217,4839,Childrens,Picture Books,Fiction,1971,Random House Childrens Books
172,Goodnight Moon,Margaret Wise Brown,32,English,4.3,359578,6880,Childrens,Picture Books,Classics,1947,HarperCollins
173,Six of Crows,Leigh Bardugo,465,English,4.5,814369,89340,Fantasy,Young Adult,Fiction,2015,Henry Holt \u0026 Company
174,A Midsummer Night's Dream,William Shakespeare,240,English,3.95,516406,11106,Classics,Plays,Fiction,1595,Simon \u0026 Schuster
175,Frostbite,Richelle Mead,327,English,4.26,344500,12993,Young Adult,Fantasy,Vampires,2008,Razorbill
176,The Maze Runner,James Dashner,384,English,4.04,1410258,62660,Young Adult,Dystopia,Science Fiction,2009,Delacorte Press
177,The Haunting of Hill House,Shirley Jackson,182,English,3.82,260192,24630,Horror,Classics,Fiction,1959,Penguin Classics
178,Tess of the D'Urbervilles,Thomas Hardy,518,English,3.82,272821,11007,Classics,Fiction,Romance,1891,Penguin Classics
179,Heart of Darkness,Joseph Conrad,188,English,3.43,487902,18692,Classics,Fiction,Literature,1899,Green Integer
180,The Hunger Games Trilogy Boxset,Suzanne Collins,1155,English,4.49,212579,7217,Young Adult,Fiction,Fantasy,2008,Scholastic Press
181,Blood Promise,Richelle Mead,503,English,4.31,304478,10959,Young Adult,Fantasy,Vampires,2009,Razorbill
182,The Prophet,Kahlil Gibran,127,English,4.23,283283,13260,Poetry,Classics,Philosophy,1923,Rupa \u0026 Co
183,Bridge to Terabithia,Katherine Paterson,190,English,4.04,522281,15317,Fiction,Young Adult,Classics,1977,HarperCollins
184,The Good Earth,Pearl S. Buck,418,English,4.0,243166,11207,Classics,Fiction,Historical Fiction,1931,Howard Publishing Co
185,Catching Fire,Suzanne Collins,391,English,4.31,3254470,111398,Young Adult,Dystopia,Fiction,2009,Scholastic Press
186,The Call of the Wild,Jack London,172,English,3.9,407143,14292,Classics,Fiction,Adventure,1903,Scholastic
187,Alice in Wonderland,Jane Carruth,96,English,4.03,386148,5493,Classics,Fantasy,Fiction,1865,Gramercy
188,The Joy Luck Club,Amy Tan,352,English,3.96,668213,12091,Fiction,Historical Fiction,Classics,1989,Penguin Books
189,Throne of Glass,Sarah J. Maas,406,English,4.19,1043742,70637,Fantasy,Young Adult,Romance,2012,Bloomsbury USA Children's
190,Murder on the Orient Express,Agatha Christie,274,English,4.2,561176,36089,Mystery,Classics,Fiction,1934,HarperCollins
191,The Phantom Tollbooth,Norton Juster,248,English,4.19,276427,12554,Fantasy,Fiction,Classics,1961,Random House Bullseye Books
192,The Mists of Avalon,Marion Zimmer Bradley,1009,English,4.13,202735,7354,Fantasy,Fiction,Historical Fiction,1982,Ballantine Books
193,"Oh, the Places You'll Go!",Dr. Seuss,44,English,4.36,388547,6163,Childrens,Picture Books,Fiction,1990,Random House Books for Young Readers
194,The Silence of the Lambs,Thomas  Harris,421,English,4.24,529724,8370,Horror,Fiction,Thriller,1988,Arrow Books
195,Madame Bovary,Gustave Flaubert,329,French,3.7,313833,14670,Classics,Fiction,France,1856,Oxford University Press
196,Oliver Twist,Charles Dickens,608,English,3.88,371331,9834,Classics,Fiction,Historical Fiction,1838,Penguin Books
197,Jonathan Livingston Seagull,Richard Bach,112,English,3.85,240689,10197,Fiction,Classics,Philosophy,1970,Scribner
198,Treasure Island,Robert Louis Stevenson,311,English,3.84,466010,15213,Fiction,Adventure,Classics,1882,Kingfisher
199,The Neverending Story,Michael Ende,396,English,4.18,192072,8796,Fantasy,Classics,Fiction,1979,Dutton Children's Books
200,The Girl Who Played with Fire,Stieg Larsson,503,English,4.25,894530,36361,Fiction,Mystery,Thriller,2006,Alfred A. Knopf
201,Ulysses,James Joyce,783,English,3.75,123150,8791,Classics,Fiction,Literature,1922,Vintage
202,The Night Circus,Erin Morgenstern,400,English,4.02,900130,95595,Fantasy,Fiction,Romance,2011,Doubleday
203,The Selection,Kiera Cass,336,English,4.09,1416039,72339,Young Adult,Romance,Dystopia,2012,HarperTeen
204,A Storm of Swords,George R.R. Martin,1177,English,4.54,745624,24195,Fantasy,Fiction,Epic Fantasy,2000,Bantam
205,Fifty Shades of Grey,E.L. James,356,English,3.66,2442996,82481,Romance,Fiction,Erotica,2011,Vintage
206,The Secret History,Donna Tartt,559,English,4.17,587997,59449,Fiction,Mystery,Classics,1992,Vintage
207,The Boy in the Striped Pajamas,John Boyne,240,English,4.15,753417,34516,Historical Fiction,Fiction,Young Adult,2006,David Fickling Books
208,The Clan of the Cave Bear,Jean M. Auel,516,English,4.08,258091,7662,Historical Fiction,Fiction,Fantasy,1980,Bantam 
209,A Farewell to Arms,Ernest Hemingway,293,English,3.81,306190,12843,Classics,Fiction,Historical Fiction,1929,Arrow Books
210,The Canterbury Tales,Geoffrey Chaucer,521,English,3.52,214048,4077,Classics,Fiction,Poetry,1400,Penguin Books/Penguin Classics
211,Jurassic Park,Michael Crichton,466,English,4.08,916333,17647,Science Fiction,Fiction,Thriller,1990,Ballantine Books
212,The World According to Garp,John Irving,610,English,4.1,222636,6401,Fiction,Classics,Contemporary,1978,Ballantine Books
213,Beloved,Toni Morrison,324,English,3.93,406948,18864,Fiction,Classics,Historical Fiction,1987,Vintage
214,Misery,Stephen King,370,English,4.21,640541,21914,Horror,Fiction,Thriller,1987,New English Library
215,David Copperfield,Charles Dickens,882,English,4.02,226742,8815,Classics,Fiction,Literature,1850,Penguin 
216,Thirteen Reasons Why,Jay Asher,352,English,3.86,930435,55484,Young Adult,Fiction,Contemporary,2007,Razorbill
217,A Story of Yesterday,Sergio Cobo,70,English,4.6,11480,227,Spanish Literature,Thriller,European Literature,2014,Vintage
218,The Diary of a Young Girl,Anne Frank,283,English,4.18,3501645,37933,Classics,Nonfiction,History,1947,Bantam
219,A Little Princess,Frances Hodgson Burnett,242,English,4.22,297713,9302,Classics,Fiction,Childrens,1905,Penguin Books
220,The Lost Hero,Rick Riordan,576,English,4.31,781671,29033,Fantasy,Young Adult,Mythology,2010,Disney-Hyperion Books
221,A Court of Mist and Fury,Sarah J. Maas,626,English,4.63,1112259,98896,Fantasy,Romance,Young Adult,2016,Bloomsbury USA Childrens
